id_product,product_name,product_type 
225,Palmito in Natura,nao_madeireiro
226,Palmito in natura,nao_madeireiro
227,Palmito industrializado,nao_madeireiro
230,Planta viva,nao_madeireiro
240,Raizes,nao_madeireiro
241,Raízes,nao_madeireiro
270,Toras de Madeira Produzida,nao_madeireiro
282,Xaxim (st),nao_madeireiro
283,Óleos Essenciais,nao_madeireiro
268,Tora,tora
269,Toras de Madeira Nativa,tora
267,Tacos,final
273,Tábua,final
274,Tábua Aplainada 2 Faces (S2S),final
275,Tábua Aplainada 4 Faces (S4S),final
276,Tábua Curta,final
278,Viga,final
279,Viga Curta,final
280,Vigota,final
281,Vigota Curta,final
1,Alisar,final
2,Aproveitamento de Lâmina Faqueada,final
3,Aproveitamento de Lâmina Torneada,final
4,Aproveitamentos de Madeira,final
10,Caibrinhos,final
11,Caibro,final
12,Caibro Curto,final
13,Caibro curto,final
22,Chapa OSB,final
23,Chapa de fibra,final
26,Compensado,final
27,Compensado Aglomerado de 15 mm,final
271,Toretes,outros
272,Toretes (st),outros
277,Vara,outros
168,Desfolhado,final
38,"Compensado Laminado de 11,4 mm",final
39,"Compensado Laminado de 11,5 mm",final
40,"Compensado Laminado de 11,7 mm",final
41,"Compensado Laminado de 11,8 mm",final
42,"Compensado Laminado de 11,9 mm",final
43,Compensado Laminado de 12 mm,final
44,"Compensado Laminado de 12,1 mm",final
45,"Compensado Laminado de 12,2 mm",final
46,"Compensado Laminado de 12,4 mm",final
47,"Compensado Laminado de 12,5 mm",final
48,Compensado Laminado de 13 mm,final
49,"Compensado Laminado de 13,1 mm",final
50,"Compensado Laminado de 13,2 mm",final
51,"Compensado Laminado de 13,5 mm",final
52,"Compensado Laminado de 13,8 mm",final
53,Compensado Laminado de 14 mm,final
54,"Compensado Laminado de 14,3 mm",final
9,Briquete,residuos energeticos
14,Carvão,residuos energeticos
15,Carvão Vegetal,residuos energeticos
16,Carvão Vegetal de resíduo,residuos energeticos
17,Carvão vegetal de espécies exóticas,residuos energeticos
18,Casca,residuos energeticos
19,Cascas,residuos energeticos
20,Cavaco,residuos energeticos
21,Cavacos,residuos energeticos
243,Resíduo Fonte de Energia,residuos energeticos
244,Resíduo da Indústria Madeireira para Fins Energéticos,residuos energeticos
245,Resíduo da Indústria Madeireira para Fins de Aproveitamento Industrial,residuos energeticos
246,Resíduo de Lâmina Faqueada,residuos energeticos
247,Resíduo de Lâmina Torneada,residuos energeticos
248,Resíduo de Serraria,residuos energeticos
55,"Compensado Laminado de 14,5 mm",final
56,"Compensado Laminado de 14,9 mm",final
57,Compensado Laminado de 15 mm,final
58,"Compensado Laminado de 15,1 mm",final
59,"Compensado Laminado de 15,5 mm",final
60,Compensado Laminado de 16 mm,final
61,"Compensado Laminado de 16,1 mm",final
62,"Compensado Laminado de 16,3 mm",final
63,"Compensado Laminado de 16,6 mm",final
64,Compensado Laminado de 17 mm,final
249,Resíduo de lâmina,residuos energeticos
250,Resíduo para Aproveitamento Industrial,residuos energeticos
251,Resíduo para Fins Energéticos,residuos energeticos
87,Compensado Laminado de 3 mm,final
88,"Compensado Laminado de 3,5 mm",final
89,"Compensado Laminado de 3,6 mm",final
90,"Compensado Laminado de 3,9 mm",final
91,Compensado Laminado de 30 mm,final
92,Compensado Laminado de 32 mm,final
93,Compensado Laminado de 33 mm,final
94,Compensado Laminado de 34 mm,final
95,Compensado Laminado de 35 mm,final
96,Compensado Laminado de 36 mm,final
97,Compensado Laminado de 4 mm,final
98,"Compensado Laminado de 4,1 mm",final
99,"Compensado Laminado de 4,5 mm",final
100,"Compensado Laminado de 4,7 mm",final
101,"Compensado Laminado de 4,8 mm",final
102,Compensado Laminado de 40 mm,final
103,Compensado Laminado de 5 mm,final
104,"Compensado Laminado de 5,1 mm",final
105,"Compensado Laminado de 5,2 mm",final
106,"Compensado Laminado de 5,4 mm",final
107,"Compensado Laminado de 5,5 mm",final
108,Compensado Laminado de 50 mm,final
109,Compensado Laminado de 6 mm,final
110,"Compensado Laminado de 6,1 mm",final
252,Resíduo para miolo de compensado,residuos energeticos
253,Resíduo – Miolo de Compensado,residuos energeticos
254,Resíduos Florestais,residuos energeticos
255,Resíduos Fonte de Energia,residuos energeticos
256,Resíduos para Fins Energéticos,residuos energeticos
266,Sobras e Aparas de Madeira,residuos energeticos
