id_emp,latitude,longitude,type
2638120,-22.4355,-47.7151,FINAL
2638269,-22.9246,-45.4613,PTO_IBAMA
2638379,-23.2221,-44.7175,FINAL
2638753,-23.1852,-46.8974,FINAL
2638799,-23.1896,-45.8841,FINAL
2638838,-20.8169,-49.5206,FINAL
2638956,-15.7795,-47.9297,FINAL
2639008,-23.5329,-46.6395,FINAL
2639805,-23.9535,-46.335,FINAL
2639967,-23.4969,-47.4451,FINAL
2639974,-23.4332,-45.0834,FINAL
2640052,-22.7296,-45.5833,PTO_IBAMA
2640101,-22.0174,-47.886,PTO_IBAMA
2640394,-23.5329,-46.6395,FINAL
2640482,-23.9535,-46.335,FINAL
2640726,-23.1039,-46.728,PTO_IBAMA
2640836,-23.4969,-47.4451,FINAL
2640849,-23.4439,-46.9178,FINAL
2640903,-23.5329,-46.6395,FINAL
2641168,-23.5448,-46.3112,FINAL
2641216,-21.1699,-47.8099,FINAL
2641266,-23.3965,-46.32,FINAL
2641378,-23.7785,-45.3552,FINAL
2641550,-23.5329,-46.6395,FINAL
2641583,-20.4237,-49.9781,FINAL
2641682,-23.1896,-45.8841,PTO_IBAMA
2641857,-22.7037,-46.9851,FINAL
2641880,-23.3487,-47.8461,FINAL
2641924,-23.5329,-46.6395,FINAL
2642254,-23.9788,-48.8764,FINAL
2642261,-22.0174,-47.886,FINAL
2642296,-12.9835,-38.4572,PTO_IBAMA
2642614,-23.4538,-46.5333,FINAL
2642625,-23.5329,-46.6395,FINAL
2642677,-23.1896,-45.8841,FINAL
2643255,-23.4969,-47.4451,FINAL
2643351,-23.4439,-46.9178,FINAL
2643522,-23.6677,-46.4613,FINAL
2643637,-23.1047,-48.6157,FINAL
2643862,-20.8113,-49.3758,FINAL
2644009,-20.6228,-49.6563,PTO_IBAMA
2644015,-23.5057,-46.879,FINAL
2644042,-23.5329,-46.6395,FINAL
2644357,-23.4439,-46.9178,FINAL
2644410,-23.4332,-45.0834,FINAL
2644449,-23.5329,-46.6395,FINAL
2645277,-22.9527,-46.5419,FINAL
2645723,-23.4439,-46.9178,FINAL
2645802,-22.1207,-51.3925,FINAL
2645952,-23.5329,-46.6395,FINAL
2646087,-23.5329,-46.6395,FINAL
2646153,-22.7665,-46.2241,FINAL
2646176,-20.4237,-49.9781,FINAL
2646187,-23.5329,-46.6395,PTO_IBAMA
2646241,-22.854,-46.3178,FINAL
2646304,-20.5531,-48.5698,FINAL
2646609,-23.4439,-46.9178,FINAL
2646678,-23.5329,-46.6395,FINAL
2646765,-22.0174,-47.886,PTO_IBAMA
2647238,-23.3592,-47.6926,PTO_IBAMA
2647666,-23.3872,-45.6639,FINAL
2647926,-23.4439,-46.9178,FINAL
2647977,-23.9535,-46.335,FINAL
2648226,-23.5329,-46.6395,FINAL
2648384,-23.9535,-46.335,FINAL
2648643,-23.5329,-46.6395,FINAL
2648674,-23.5329,-46.6395,FINAL
2648987,-23.7951,-45.4143,FINAL
2649117,-23.4332,-45.0834,FINAL
2649151,-23.5329,-46.6395,FINAL
2649237,-23.2855,-47.6786,PTO_IBAMA
2649244,-20.8929,-47.5921,PTO_IBAMA
2649282,-23.1852,-46.8974,FINAL
2650023,-23.3965,-46.32,PTO_IBAMA
2650540,-23.1896,-45.8841,FINAL
2650572,-23.5329,-46.6395,FINAL
2650656,-22.2171,-49.9501,FINAL
2650661,-23.6437,-46.8579,FINAL
2650951,-20.9331,-50.498,FINAL
2651033,-23.3172,-46.2237,FINAL
2651198,-23.1171,-46.5563,FINAL
2651390,-23.0035,-46.8464,FINAL
2651462,-22.5539,-45.7803,PTO_IBAMA
2651511,-20.8113,-49.3758,FINAL
2651738,-23.5329,-46.6395,FINAL
2652049,-20.7849,-51.7007,FINAL
2652234,-21.921,-50.7357,FINAL
2652714,-21.1314,-48.977,FINAL
2653009,-23.1896,-45.8841,FINAL
2653378,-23.5329,-46.6395,FINAL
2654111,-23.6677,-46.4613,FINAL
2654221,-22.7088,-46.772,FINAL
2654303,-26.7757,-51.012,FINAL
2654367,-23.5329,-46.6395,FINAL
2654644,-23.7951,-45.4143,FINAL
2654767,-23.7951,-45.4143,FINAL
2655328,-20.5352,-47.4039,FINAL
2655534,-23.5329,-46.6395,PTO_IBAMA
2655587,-23.2983,-45.9658,FINAL
2656124,-21.291,-50.3432,FINAL
2656406,-23.5329,-46.6395,PTO_IBAMA
2656471,-22.0174,-47.886,FINAL
2656514,-23.5329,-46.6395,FINAL
2656636,-20.7169,-47.8852,FINAL
2656951,-23.9888,-46.258,FINAL
2657121,-23.5329,-46.6395,FINAL
2657208,-23.5329,-46.6395,PTO_IBAMA
2657237,-23.1896,-45.8841,FINAL
2657559,-22.2171,-49.9501,FINAL
2657647,-23.355,-46.8781,FINAL
2657908,-23.6568,-46.6581,PTO_IBAMA
2658393,-22.3375,-47.1729,FINAL
2658460,-23.1747,-46.3983,FINAL
2658936,-23.5329,-46.6395,FINAL
2659093,-22.0174,-47.886,FINAL
2659106,-23.222,-45.3109,FINAL
2659407,-22.2171,-49.9501,FINAL
2659864,-22.9053,-47.0659,FINAL
2660042,-23.4538,-46.5333,FINAL
2660080,-23.4439,-46.9178,FINAL
2660163,-20.3034,-50.0163,FINAL
2660907,-23.5057,-46.879,FINAL
2661231,-23.5329,-46.6395,PTO_IBAMA
